,AUC,precision,recall,F-measure,Gmean
0,0.8871066718742401,0.8388888888888889,0.75,0.7492673992673993,0.8515559009156431
1,0.8712389032791988,0.7921052631578946,0.75,0.6957556935817806,0.8342307685367238
2,0.911237854633369,0.8388888888888889,0.75,0.7492673992673993,0.8515559009156431
3,0.8665565692473396,0.7866666666666667,0.65,0.6637362637362637,0.7912323080903589
4,0.9179405675681394,0.8166666666666667,0.75,0.7565934065934067,0.8561910750770908
5,0.8873615085929487,0.82,0.7,0.7047619047619047,0.8200280941941245
6,0.8871066718742401,0.8388888888888889,0.75,0.7492673992673993,0.8515559009156431
7,0.8933767475497738,0.8166666666666667,0.7,0.7184981684981685,0.8244073505575127
8,0.8600966310788043,0.7588888888888888,0.75,0.7111721611721611,0.8487844408080246
9,0.8927959177823411,0.8166666666666667,0.7,0.7184981684981685,0.8244073505575127
10,0.8554387037938398,0.7127272727272728,0.75,0.678095238095238,0.8440554866091485
11,0.9108299880891385,0.8300000000000001,0.7,0.7023809523809523,0.81811067807062
12,0.8808056405328563,0.8099999999999999,0.7,0.7119047619047618,0.8229557725334752
13,0.871422558008308,0.7921052631578946,0.75,0.6957556935817806,0.8342307685367238
14,0.905060949693063,0.78,0.7,0.6952380952380952,0.8215644545858994
15,0.8909002504541225,0.7866666666666667,0.75,0.7399267399267399,0.8547997571295152
16,0.9038704901876851,0.78,0.65,0.6419047619047619,0.7801430983485901
17,0.8423827321105394,0.7866666666666667,0.7,0.7018315018315018,0.8230160326099372
18,0.9052446044221724,0.78,0.75,0.7333333333333332,0.8533481791054778
19,0.8670425270707152,0.8166666666666667,0.7,0.7184981684981685,0.8244073505575127
20,0.8686292728022991,0.8166666666666667,0.75,0.7565934065934067,0.8561910750770908
21,0.8791074597757014,0.7433333333333333,0.7,0.6928571428571428,0.8218288911786059
22,0.8941137948602779,0.7121052631578948,0.8,0.6957556935817806,0.8632430329486835
23,0.8815763846260065,0.7427272727272728,0.75,0.6947619047619047,0.845446804556724
24,0.9107450635589952,0.8088888888888889,0.75,0.7326007326007326,0.8501645829680674
25,0.8555711017183668,0.78,0.65,0.657142857142857,0.7897807300663212
26,0.8430075585351863,0.795,0.65,0.6714285714285714,0.7926712078485394
27,0.8977956038426332,0.7944444444444445,0.75,0.6989177489177489,0.8360398770855694
28,0.8609450557126238,0.8300000000000001,0.75,0.7404761904761905,0.8498944025901982
29,0.8734145110042402,0.7928571428571429,0.75,0.730952380952381,0.8487993393613967
