,AUC,precision,recall,F-measure,Gmean
0,0.843840424446485,0.6725,0.75,0.6133333333333333,0.7943312917870244
1,0.8612968064483215,0.7781818181818181,0.8,0.6902102102102102,0.8237879824354462
2,0.8630820570736977,0.7787499999999999,0.8,0.691111111111111,0.8256731503859147
3,0.8507550249974494,0.6353246753246753,0.7,0.5629374829374829,0.759481380995208
4,0.8630820570736977,0.7787499999999999,0.8,0.691111111111111,0.8256731503859147
5,0.8590929496990103,0.7115151515151515,0.8,0.6502102102102103,0.8205877759570825
6,0.8525402756228253,0.6358928571428571,0.7,0.5638383838383838,0.7613665489456766
7,0.8590929496990103,0.7115151515151515,0.8,0.6502102102102103,0.8205877759570825
8,0.8492123252729313,0.7725,0.75,0.6799999999999999,0.8007846114736761
9,0.8349239873482298,0.6997849462365592,0.7,0.6292063492063492,0.7676058282970553
10,0.843840424446485,0.6725,0.75,0.6133333333333333,0.7943312917870244
11,0.8623474381572607,0.73875,0.8,0.6688888888888889,0.8240794994906734
12,0.8507550249974494,0.6353246753246753,0.7,0.5629374829374829,0.759481380995208
13,0.8630820570736977,0.7787499999999999,0.8,0.691111111111111,0.8256731503859147
14,0.8371278440975412,0.7664516129032257,0.7,0.6692063492063491,0.770806034775419
15,0.8492123252729313,0.7725,0.75,0.6799999999999999,0.8007846114736761
16,0.8317559432710948,0.6664516129032257,0.7,0.6025396825396825,0.7643527150887672
17,0.8608782003243864,0.7120833333333334,0.8,0.6511111111111111,0.8224729439075512
18,0.8492123252729313,0.7725,0.75,0.6799999999999999,0.8007846114736761
19,0.8492123252729313,0.7725,0.75,0.6799999999999999,0.8007846114736761
20,0.8492123252729313,0.7725,0.75,0.6799999999999999,0.8007846114736761
21,0.8630820570736977,0.7787499999999999,0.8,0.691111111111111,0.8256731503859147
22,0.8371278440975412,0.7664516129032257,0.7,0.6692063492063491,0.770806034775419
23,0.8507550249974494,0.6353246753246753,0.7,0.5629374829374829,0.759481380995208
24,0.8612968064483215,0.7781818181818181,0.8,0.6902102102102102,0.8237879824354462
25,0.8525402756228253,0.6358928571428571,0.7,0.5638383838383838,0.7613665489456766
26,0.8612968064483215,0.7781818181818181,0.8,0.6902102102102102,0.8237879824354462
27,0.8612968064483215,0.7781818181818181,0.8,0.6902102102102102,0.8237879824354462
28,0.836393225181104,0.7264516129032258,0.7,0.6469841269841269,0.7692123838801775
29,0.8612968064483215,0.7781818181818181,0.8,0.6902102102102102,0.8237879824354462
