,AUC,precision,recall,F-measure,Gmean
0,0.8097121633248247,0.6520833333333333,0.6,0.5276190476190477,0.7067124225953547
1,0.7833906408904495,0.5997849462365592,0.6,0.5749206349206349,0.7234567368465052
2,0.8086904128031247,0.6515151515151515,0.7,0.6181467181467182,0.7780323354017737
3,0.7940058842329655,0.5791666666666666,0.65,0.567936507936508,0.7518287579616402
4,0.7845214504523441,0.6397849462365591,0.6,0.5971428571428572,0.7250503877417467
5,0.8100794727830433,0.6520833333333333,0.7,0.6190476190476191,0.7799175033522424
6,0.8069168116893476,0.5848484848484847,0.6,0.5324324324324324,0.7183268102842141
7,0.783786831535907,0.5997849462365592,0.6,0.5749206349206349,0.7234567368465052
8,0.8100794727830433,0.6520833333333333,0.7,0.6190476190476191,0.7799175033522424
9,0.7735834783560142,0.4969278033794162,0.5,0.4698701298701298,0.6607437863015087
10,0.7940058842329655,0.5791666666666666,0.65,0.567936507936508,0.7518287579616402
11,0.8104756634285006,0.6520833333333333,0.7,0.6190476190476191,0.7799175033522424
12,0.8073130023348051,0.5848484848484847,0.6,0.5324324324324324,0.7183268102842141
13,0.8086904128031247,0.6515151515151515,0.7,0.6181467181467182,0.7780323354017737
14,0.8077078600023899,0.5731182795698924,0.5,0.5114285714285713,0.665344862624187
15,0.7841252598068865,0.6397849462365591,0.6,0.5971428571428572,0.7250503877417467
16,0.7908378401558306,0.5458333333333333,0.65,0.5412698412698413,0.7485756447533521
17,0.8069168116893476,0.5848484848484847,0.6,0.5324324324324324,0.7183268102842141
18,0.7981486313522522,0.5086580086580086,0.6,0.49087399087399086,0.7137257339615357
19,0.8033185119766784,0.5515151515151515,0.7,0.5514800514800515,0.7715790157151221
20,0.8069168116893476,0.5848484848484847,0.6,0.5324324324324324,0.7183268102842141
21,0.783786831535907,0.5997849462365592,0.6,0.5749206349206349,0.7234567368465052
22,0.8060903654083559,0.5848484848484847,0.7,0.5781467181467181,0.7748321289234101
23,0.7966059316277343,0.6458333333333333,0.65,0.607936507936508,0.7550289644400039
24,0.8097121633248247,0.6520833333333333,0.6,0.5276190476190477,0.7067124225953547
25,0.8082942221576671,0.6515151515151515,0.7,0.6181467181467182,0.7780323354017737
26,0.8097121633248247,0.6520833333333333,0.6,0.5276190476190477,0.7067124225953547
27,0.8079269126994486,0.6515151515151515,0.6,0.5267181467181468,0.7048272546448862
28,0.8104756634285006,0.6520833333333333,0.7,0.6190476190476191,0.7799175033522424
29,0.8060903654083559,0.5848484848484847,0.7,0.5781467181467181,0.7748321289234101
