,AUC,precision,recall,F-measure,Gmean
0,0.8416401387613509,0.5515151515151515,0.55,0.5164835164835165,0.6303538436788657
1,0.9027944597490052,0.6357142857142857,0.65,0.6305194805194805,0.7126680112872368
2,0.8277102109762042,0.7594202898550725,0.65,0.6101587301587302,0.7566122727734508
3,0.8001140756612137,0.6916666666666667,0.55,0.5228571428571429,0.6952330638806603
4,0.9047719620446893,0.65,0.65,0.6414285714285715,0.714082520263435
5,0.8778183348637894,0.5760869565217391,0.65,0.5658730158730159,0.6881467093302719
6,0.855392080173225,0.65,0.65,0.6414285714285715,0.714082520263435
7,0.8034795485721412,0.5594202898550724,0.6,0.5301587301587303,0.6566122727734507
8,0.8670173961840629,0.6,0.55,0.5657142857142857,0.650375402886624
9,0.8560309180469114,0.7733333333333333,0.55,0.6101587301587302,0.7102905729175847
10,0.8416401387613509,0.7515151515151515,0.6,0.5964835164835165,0.7303538436788657
11,0.874946971039475,0.6606060606060605,0.55,0.511868131868132,0.6974250741873212
12,0.8656820732578309,0.5133333333333334,0.6,0.4987861811391223,0.6428543160072646
13,0.852342618100194,0.7594202898550725,0.65,0.6101587301587302,0.7566122727734508
14,0.8189090682356677,0.7004761904761905,0.55,0.5559920634920635,0.6875164764675146
15,0.8427114863562675,0.6166666666666667,0.6,0.6014285714285714,0.6819098394434452
16,0.8446025915722886,0.5571428571428572,0.55,0.5339285714285714,0.6206445639195771
17,0.879405699740628,0.5772727272727273,0.65,0.5675824175824176,0.6898010422088808
18,0.8298642995612693,0.5071264367816093,0.55,0.48773448773448774,0.6188280786306389
19,0.8023801426158329,0.6966666666666667,0.55,0.5392436974789916,0.6907553995391181
20,0.8662827772676258,0.56,0.55,0.5434920634920635,0.6487817519913827
21,0.8424944864338803,0.7140229885057472,0.65,0.5798556998556998,0.7446603424824916
22,0.8166312394426873,0.5402298850574712,0.5,0.49783549783549785,0.5880528320109035
23,0.8534145778775409,0.6357142857142857,0.65,0.6305194805194805,0.7126680112872368
24,0.8778183348637894,0.5760869565217391,0.65,0.5658730158730159,0.6881467093302719
25,0.9040470752591965,0.6333333333333333,0.6,0.6057142857142858,0.6825480837066138
26,0.8758302724211815,0.775,0.7,0.6442857142857144,0.7864730255550412
27,0.8281195087802832,0.779047619047619,0.65,0.6525829725829726,0.7795399238351743
28,0.8552962991304743,0.5333333333333334,0.5,0.507936507936508,0.6086969220223433
29,0.8646847260483623,0.7693548387096774,0.7,0.6357142857142857,0.7741511141913122
