,AUC,precision,recall,F-measure,Gmean
0,0.7418214551736532,0.6219974143503555,0.6458333333333333,0.6302362292879534,0.7033789634324827
1,0.726110862851472,0.6613275613275613,0.6433333333333333,0.631965811965812,0.69576546982378
2,0.7176345985596462,0.6250925545043191,0.6441666666666667,0.6265287344234713,0.6985346459376458
3,0.7552844044400233,0.6252164502164502,0.6708333333333333,0.6401525240234918,0.7103562661198689
4,0.765414987335057,0.6370726495726495,0.645,0.6357730188849733,0.7081632957821423
5,0.7104429973332536,0.6463742690058479,0.605,0.6118518518518519,0.6860587016426904
6,0.7335314108882225,0.6431603484235063,0.6316666666666666,0.6312001723766429,0.7036299851745925
7,0.7139396368689299,0.5793478260869565,0.63,0.5957873420609794,0.6703879636644925
8,0.7332389148216167,0.5957142857142858,0.6308333333333332,0.6066411238825031,0.6847614450230447
9,0.7232218421970605,0.6378750351815368,0.6308333333333334,0.6247252747252747,0.6976709891174993
10,0.7494894669722688,0.6234866011181801,0.6441666666666667,0.6275029977117264,0.700340466309864
11,0.7260164985594276,0.613836898395722,0.6325,0.6174212883890303,0.6940172890382463
12,0.7315621212428066,0.6319423997055577,0.6316666666666666,0.6255166086285631,0.6999779034948187
13,0.7113711069749717,0.611525974025974,0.6183333333333333,0.6059247478602316,0.680804022462396
14,0.7262876258374995,0.6387878787878789,0.6174999999999999,0.621056721056721,0.6951097934408551
15,0.7176004165718657,0.6248663101604277,0.6191666666666666,0.6140783236371472,0.6893107298101716
16,0.7062203551664435,0.6282177033492824,0.605,0.6057705768825314,0.6820125791595382
17,0.7544461922013872,0.6397729618163054,0.6841666666666666,0.6565359477124183,0.7258384357600292
18,0.7287960762251815,0.6352869352869353,0.63,0.6152380952380951,0.6809664873641413
19,0.7497851212378679,0.6180995475113121,0.645,0.6273109243697479,0.7018514459477352
20,0.7274200753047193,0.6373989898989899,0.6316666666666666,0.6268922700042244,0.7018784723008104
21,0.7264922689451574,0.592675983436853,0.6441666666666667,0.6095452687221318,0.6812687680028993
22,0.7235885241301907,0.6411361737677527,0.605,0.6083597883597884,0.6822957771967999
23,0.7242565488385764,0.6260964912280701,0.6183333333333333,0.6171639590994429,0.6931330334284576
24,0.7482649298810639,0.6445773524720894,0.6308333333333334,0.6284846953812471,0.700912276622337
25,0.7456201865655966,0.6216093117408906,0.6716666666666666,0.6423963133640552,0.7135763980842688
26,0.7276987029634832,0.5930735930735931,0.5916666666666666,0.5869231512233539,0.6681391691477722
27,0.7449919298663452,0.6296380090497739,0.6575,0.636984126984127,0.707610590716393
28,0.769816062191364,0.6616561869503046,0.6841666666666667,0.663451885951886,0.727858978232039
29,0.7230660944292318,0.6616123642439432,0.5916666666666666,0.6094712643678161,0.6830197232980821
