,AUC,precision,recall,F-measure,Gmean
0,0.9927609427609427,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
1,0.9922558922558923,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
2,0.9929292929292929,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
3,0.9919191919191919,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
4,0.9925925925925926,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
5,0.9922558922558923,0.8585714285714285,0.9666666666666668,0.9029686834904226,0.9725984330216353
6,0.9922558922558923,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
7,0.9925925925925926,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
8,0.9924242424242424,0.8614926739926739,0.9666666666666668,0.9040342105559498,0.97258809665075
9,0.993097643097643,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
10,0.9922558922558923,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
11,0.9922558922558923,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
12,0.9924242424242424,0.8585714285714285,0.9666666666666668,0.9029686834904226,0.9725984330216353
13,0.9925925925925926,0.8614926739926739,0.9666666666666668,0.9040342105559498,0.97258809665075
14,0.9922558922558923,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
15,0.993097643097643,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
16,0.9922558922558923,0.8660714285714286,0.9666666666666668,0.9053965293965295,0.972578070390672
17,0.9925925925925926,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
18,0.9920875420875421,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
19,0.9927609427609427,0.8585714285714285,0.9666666666666668,0.9029686834904226,0.9725984330216353
20,0.9922558922558923,0.8614926739926739,0.9666666666666668,0.9040342105559498,0.97258809665075
21,0.9924242424242424,0.8585714285714285,0.9666666666666668,0.9029686834904226,0.9725984330216353
22,0.9922558922558923,0.8585714285714285,0.9666666666666668,0.9029686834904226,0.9725984330216353
23,0.9927609427609427,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
24,0.993097643097643,0.8585714285714285,0.9666666666666668,0.9029686834904226,0.9725984330216353
25,0.9922558922558923,0.8614926739926739,0.9666666666666668,0.9040342105559498,0.97258809665075
26,0.9927609427609427,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
27,0.9919191919191919,0.8585714285714285,0.9666666666666668,0.9029686834904226,0.9725984330216353
28,0.9927609427609427,0.8494047619047619,0.9666666666666668,0.8967008772226164,0.9715855084326698
29,0.9924242424242424,0.8752380952380954,0.9666666666666668,0.9116643356643357,0.9735909949796374
