,AUC,precision,recall,F-measure,Gmean
0,0.9883838383838384,0.8615384615384615,0.95,0.8655462184873949,0.958369100711398
1,0.9888888888888889,0.8615384615384615,0.9,0.8369747899159664,0.9315741814682855
2,0.9893939393939395,0.9,0.8,0.8095238095238095,0.8813781980644333
3,0.9898989898989898,0.8615384615384615,0.95,0.8655462184873949,0.958369100711398
4,0.9904040404040404,0.9,0.95,0.9047619047619048,0.966751761070236
5,0.9898989898989898,0.9142857142857143,0.95,0.9168831168831169,0.9683850953465942
6,0.9898989898989898,0.8444444444444444,0.9,0.8155844155844155,0.9227935822514148
7,0.9878787878787878,0.8666666666666666,0.95,0.8714285714285716,0.9600757176173504
8,0.9888888888888889,0.888888888888889,0.95,0.8945054945054945,0.9651045253246009
9,0.9893939393939394,0.9,0.9,0.8761904761904763,0.9399568418271237
10,0.9858585858585859,0.9142857142857143,0.85,0.8502164502164502,0.9098064515839038
11,0.9873737373737372,0.8615384615384615,0.9,0.8369747899159664,0.9315741814682855
12,0.9898989898989898,0.9,0.95,0.9047619047619048,0.966751761070236
13,0.9863636363636363,0.8615384615384615,0.9,0.8369747899159664,0.9315741814682855
14,0.9893939393939394,0.9,0.85,0.8380952380952381,0.9081731173075456
15,0.9883838383838384,0.8615384615384615,0.9,0.8369747899159664,0.9315741814682855
16,0.9898989898989898,0.8571428571428571,0.85,0.7936507936507937,0.8980679635109421
17,0.991919191919192,0.9142857142857143,0.95,0.9168831168831169,0.9683850953465942
18,0.9898989898989898,0.9,0.95,0.9047619047619048,0.966751761070236
19,0.9888888888888889,0.9,0.95,0.9047619047619048,0.966751761070236
20,0.9893939393939394,0.9,0.95,0.9047619047619048,0.966751761070236
21,0.9893939393939395,0.9,0.9,0.8666666666666666,0.9349680365506579
22,0.9893939393939395,0.9,0.95,0.9047619047619048,0.966751761070236
23,0.9893939393939395,0.8615384615384615,0.85,0.7988795518207283,0.8997904569487076
24,0.9898989898989898,0.9142857142857143,0.95,0.9168831168831169,0.9683850953465942
25,0.9883838383838384,0.8615384615384615,0.95,0.8655462184873949,0.958369100711398
26,0.9883838383838384,0.8615384615384615,0.85,0.7988795518207283,0.8997904569487076
27,0.9893939393939394,0.8615384615384615,0.95,0.8655462184873949,0.958369100711398
28,0.9873737373737373,0.8615384615384615,0.95,0.8655462184873949,0.958369100711398
29,0.9893939393939395,0.9,0.8,0.8095238095238095,0.8813781980644333
